2020-08-08 0900 1700 閩南語考試 計資中心 821
2020-08-24 0900 1600 深度學習概論與影像處理應用 吳俊霖 821
2020-08-25 0900 1600 深度學習概論與影像處理應用 吳俊霖 821
2020-08-26 0900 1600 大數據分析程式實作 范耀中 821
2020-08-27 0900 1600 深度學習概論與影像處理應用 吳俊霖 821
2020-08-28 0900 1600 大數據分析程式實作 范耀中 821
2020-08-31 0900 1600 Ｒ語實務與機器學習應用 吳俊霖 821
2020-09-01 0900 1600 Ｒ語實務與機器學習應用 吳俊霖 821
2020-09-03 0900 1600 Ｒ語實務與機器學習應用 吳俊霖 821
2020-09-04 0900 1600 大數據分析程式實作 范耀中 821

2020-08-31 0900 1800 物聯網專題 陳煥 1002
2020-09-01 0900 1200 物聯網專題 陳煥 1002
2020-09-02 0900 1200 物聯網專題 陳煥 1002
2020-09-03 0900 1200 物聯網專題 陳煥 1002
2020-09-04 0900 1200 物聯網專題 陳煥 1002

2020-07-16 1200 1300 第二專長學分班 中午午餐 1007
2020-07-17 1200 1300 第二專長學分班 中午午餐 1007
2020-07-20 1200 1300 第二專長學分班 中午午餐 1007
2020-07-21 1200 1300 第二專長學分班 中午午餐 1007
2020-07-22 1200 1300 第二專長學分班 中午午餐 1007
2020-07-23 1200 1300 第二專長學分班 中午午餐 1007
2020-07-24 1200 1300 第二專長學分班 中午午餐 1007
2020-07-27 1200 1300 第二專長學分班 中午午餐 1007
2020-07-28 1200 1300 第二專長學分班 中午午餐 1007
2020-07-29 1200 1300 第二專長學分班 中午午餐 1007
2020-07-30 1200 1300 第二專長學分班 中午午餐 1007
2020-08-04 1200 1300 第二專長學分班 中午午餐 1007
2020-08-06 1200 1300 第二專長學分班 中午午餐 1007
2020-08-11 1200 1300 第二專長學分班 中午午餐 1007
2020-08-13 1200 1300 第二專長學分班 中午午餐 1007

2020-07-16 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-07-21 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-07-23 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-07-28 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-07-30 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-08-04 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-08-06 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-08-11 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-08-13 0900 1500 第二專長學分班-計算機程式設計 李偉成 821
2020-07-17 0900 1500 第二專長學分班-作業系統 顏增昌 821
2020-07-20 0900 1500 第二專長學分班-作業系統 顏增昌 821
